id,order_day_numb,order_time_numb,order_day,order_time,d_hour,d_minute,d_second,dtimes,from,to,sum_transaction,from_name,to_name,from_group,to_group,from_Outstanding_DayBegin,to_Outstanding_DayBegin,from_DayChange_Income,from_DayChange_Outcome,to_DayChange_Income,to_DayChange_Outcome,from_Outstanding_DayEnd,to_Outstanding_DayEnd,from_DayChange_pr,to_DayChange_pr,graph_type,per5mnum,per5mbeg,per5mend,color_from,color_to,from_fixed,from_coord_x,from_coord_y,to_fixed,to_coord_x,to_coord_y
1,1,1,2016-06-20,09:00:00,9,0,0,2016-06-20 09:00:00,8,4,0.36,Alfa,PIB,Russian,Russian,49.00,40.00,0.00,0.00,0.36,0.00,49.00,40.36,0.000,0.009,directed,1,9:00:00,9:05:00,6,7,False,NA,NA,True,450,450
2,1,2,2016-06-20,09:00:09,9,0,9,2016-06-20 09:00:09,18,4,0.31,Citi,PIB,Belonging to foreign banking groups ,Russian,30.00,40.00,0.00,0.31,0.67,0.00,29.69,40.67,-0.010,0.017,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,450,450
3,1,5,2016-06-20,09:00:27,9,0,27,2016-06-20 09:00:27,19,4,0.21,Kreschatyk,PIB,Group 1,Russian,19.00,40.00,0.00,0.21,0.88,0.00,18.79,40.88,-0.011,0.022,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,450,450
4,1,6,2016-06-20,09:00:27,9,0,27,2016-06-20 09:00:27,17,1,0.28,Ing,Privat,Belonging to foreign banking groups ,Privat,25.00,100.00,0.00,0.28,0.28,0.00,24.73,100.28,-0.011,0.003,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,0,600
5,1,7,2016-06-20,09:00:27,9,0,27,2016-06-20 09:00:27,19,6,0.24,Kreschatyk,UkrSoc,Group 1,Russian,19.00,39.00,0.00,0.44,0.24,0.00,18.56,39.24,-0.023,0.006,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
6,1,10,2016-06-20,09:00:37,9,0,37,2016-06-20 09:00:37,10,9,0.23,Vtb,Fuib,Russian,Group 1,29.00,31.00,0.00,0.23,0.23,0.00,28.77,31.23,-0.008,0.007,directed,1,9:00:00,9:05:00,5,7,True,600,0,False,NA,NA
7,1,11,2016-06-20,09:00:40,9,0,40,2016-06-20 09:00:40,10,15,0.19,Vtb,Pivd,Russian,Group 1,29.00,19.00,0.00,0.42,0.19,0.00,28.58,19.19,-0.014,0.010,directed,1,9:00:00,9:05:00,5,7,True,600,0,False,NA,NA
8,1,12,2016-06-20,09:00:46,9,0,46,2016-06-20 09:00:46,19,18,0.17,Kreschatyk,Citi,Group 1,Belonging to foreign banking groups ,19.00,30.00,0.00,0.61,0.17,0.31,18.39,29.87,-0.032,-0.004,directed,1,9:00:00,9:05:00,5,5,False,NA,NA,False,NA,NA
9,1,14,2016-06-20,09:00:52,9,0,52,2016-06-20 09:00:52,6,20,0.20,UkrSoc,KreditDnipro,Russian,Group 1,39.00,17.00,0.24,0.20,0.20,0.00,39.03,17.20,0.001,0.012,directed,1,9:00:00,9:05:00,7,7,False,NA,NA,False,NA,NA
10,1,15,2016-06-20,09:00:54,9,0,54,2016-06-20 09:00:54,16,20,0.13,Fido,KreditDnipro,Group 1,Group 1,21.00,17.00,0.00,0.13,0.33,0.00,20.87,17.33,-0.006,0.019,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
11,1,17,2016-06-20,09:01:05,9,1,5,2016-06-20 09:01:05,3,10,0.37,Exim,Vtb,With State Participation,Russian,60.00,29.00,0.00,0.37,0.37,0.42,59.63,28.95,-0.006,-0.002,directed,1,9:00:00,9:05:00,5,5,True,-450,-450,True,600,0
12,1,19,2016-06-20,09:01:13,9,1,13,2016-06-20 09:01:13,6,4,0.32,UkrSoc,PIB,Russian,Russian,39.00,40.00,0.24,0.52,1.20,0.00,38.71,41.20,-0.007,0.030,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,450,450
13,1,21,2016-06-20,09:01:23,9,1,23,2016-06-20 09:01:23,5,10,0.25,Aval,Vtb,Belonging to foreign banking groups ,Russian,38.00,29.00,0.00,0.25,0.62,0.42,37.75,29.20,-0.006,0.007,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,600,0
14,1,22,2016-06-20,09:01:25,9,1,25,2016-06-20 09:01:25,19,20,0.11,Kreschatyk,KreditDnipro,Group 1,Group 1,19.00,17.00,0.00,0.72,0.44,0.00,18.28,17.44,-0.038,0.026,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
15,1,24,2016-06-20,09:01:37,9,1,37,2016-06-20 09:01:37,16,13,0.17,Fido,OTP,Group 1,Belonging to foreign banking groups ,21.00,25.00,0.00,0.30,0.17,0.00,20.70,25.17,-0.014,0.007,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
16,1,25,2016-06-20,09:01:46,9,1,46,2016-06-20 09:01:46,4,20,0.18,PIB,KreditDnipro,Russian,Group 1,40.00,17.00,1.20,0.18,0.62,0.00,41.02,17.62,0.025,0.036,directed,1,9:00:00,9:05:00,7,7,True,450,450,False,NA,NA
17,1,28,2016-06-20,09:01:56,9,1,56,2016-06-20 09:01:56,9,16,0.19,Fuib,Fido,Group 1,Group 1,31.00,21.00,0.23,0.19,0.19,0.30,31.04,20.89,0.001,-0.005,directed,1,9:00:00,9:05:00,7,5,False,NA,NA,False,NA,NA
